7zip 24.09+dfsg-8
libfcitx5gclient2:amd64 5.1.3-3
libfcitx5utils2:amd64 5.1.12-2
libfdisk1:amd64 2.41-5
libfdt1:amd64 1.7.2-2+b1
libffado2:amd64 2.4.9-2
libffi-dev:amd64 3.4.8-2
libffi8:amd64 3.4.8-2
libffmpegthumbnailer4v5:amd64 2.2.3-2
libfftw3-double3:amd64 3.3.10-2+b1
libfftw3-single3:amd64 3.3.10-2+b1
libfido2-1:amd64 1.15.0-1+b1
libfile-basedir-perl 0.09-2
libfile-desktopentry-perl 0.22-3
libfile-fcntllock-perl 0.22-4+b4
libfile-listing-perl 6.16-1
libfile-mimeinfo-perl 0.35-1
libfl-dev:amd64 2.6.4-8.2+b4
libfl2:amd64 2.6.4-8.2+b4
libflac14:amd64 1.5.0+ds-2
libflite1:amd64 2.2-7
libfltk-images1.3t64:amd64 1.3.11-2
libfltk1.3t64:amd64 1.3.11-2
libfluidsynth3:amd64 2.4.4+dfsg-1
libfmt10:amd64 10.1.1+ds1-4
libfont-afm-perl 1.20-4
libfontbox-java 1:1.8.16-5
libfontconfig1:amd64 2.15.0-2.3
libfontembed1t64:amd64 1.28.17-6
libfontenc1:amd64 1:1.1.8-1+b2
libfreeaptx0:amd64 0.2.2-1
libfreehand-0.1-1 0.1.2-3
libfreetype6:amd64 2.13.3+dfsg-1
libfribidi0:amd64 1.0.16-1
libfstrm0:amd64 0.6.1-1+b3
libfuse3-4:amd64 3.17.2-3
libgail-3-0t64:amd64 3.24.49-3
libgail-common:amd64 2.24.33-7
libgail18t64:amd64 2.24.33-7
libgav1-1:amd64 0.19.0-3+b1
libgbm1:amd64 25.0.7-2
libgc1:amd64 1:8.2.8-1
libgcc-14-dev:amd64 14.2.0-19
libgcc-s1:amd64 14.2.0-19
libgck-1-0:amd64 3.41.2-3
libgck-2-2:amd64 4.4.0.1-3
libgcr-4-4:amd64 4.4.0.1-3
libgcr-base-3-1:amd64 3.41.2-3
libgcr-ui-3-1:amd64 3.41.2-3
libgcrypt20:amd64 1.11.0-7
libgd3:amd64 2.3.3-13
libgdata-common 0.18.1-9
libgdata22:amd64 0.18.1-9
libgdbm-compat4t64:amd64 1.24-2
libgdbm6t64:amd64 1.24-2
libgdk-pixbuf-2.0-0:amd64 2.42.12+dfsg-4
libgdk-pixbuf2.0-bin 2.42.12+dfsg-4
libgdk-pixbuf2.0-common 2.42.12+dfsg-4
libgegl-0.4-0t64:amd64 1:0.4.62-2
libgegl-common 1:0.4.62-2
libgexiv2-2:amd64 0.14.3-1+b1
libgfapi0:amd64 11.1-6
libgfortran5:amd64 14.2.0-19
libgfrpc0:amd64 11.1-6
libgfxdr0:amd64 11.1-6
libgif7:amd64 5.2.2-1+b1
libgimp-3.0-0:amd64 3.0.4-3
libgirepository-1.0-1:amd64 1.84.0-1
libgl1:amd64 1.7.0-1+b2
libgl1-mesa-dri:amd64 25.0.7-2
libgles2:amd64 1.7.0-1+b2
libglib-object-introspection-perl 0.051-2+b1
libglib-perl:amd64 3:1.329.3-3+b3
libglib2.0-0t64:amd64 2.84.3-1
libglib2.0-bin 2.84.3-1
libglib2.0-data 2.84.3-1
libglibmm-2.4-1t64:amd64 2.66.8-1
libglu1-mesa:amd64 9.0.2-1.1+b3
libglusterfs0:amd64 11.1-6
libglvnd0:amd64 1.7.0-1+b2
libglx-mesa0:amd64 25.0.7-2
libglx0:amd64 1.7.0-1+b2
libgme0:amd64 0.6.3-7+b2
